Word,Gender
ich,n
ist,n
es,n
was,m
wie,n
ja,n
so,m
aber,n
haben,n
da,n
nein,n
noch,m
habe,f
hast,f
aus,n
gut,n
jetzt,n
sein,n
mal,n
als,m
oder,f
nichts,n
wo,n
werden,n
mehr,n
warum,n
bitte,f
etwas,n
muss,n
los,n
mann,m
sehen,n
gehen,n
tun,n
einer,m
soll,n
weg,m
wissen,n
leben,n
kommen,m
frau,f
heute,n
zeit,f
wollen,n
macht,f
gott,m
zwei,f
hallo,n
sir,m
morgen,m
ab,m
leid,n
waren,f
geld,n
liebe,f
tag,m
leute,f
vater,m
mach,n
wohl,n
glaube,m
mutter,f
nacht,f
besser,m
gerade,f
selbst,n
gute,n
paar,n
herr,m
ordnung,f
guten,f
freund,m
welt,m
abend,m
angst,f
drei,f
recht,n
finden,m
junge,n
haus,n
essen,n
andere,n
warte,f
ganze,n
halt,m
jahre,m
moment,n
glauben,m
niemand,m
warten,n
fragen,n
arbeit,f
wann,n
sprechen,n
sohn,m
halten,n
kind,n
bruder,m
musik,f
uhr,f
kopf,m
sache,f
denken,n
ende,n
vergessen,n
fahren,n
stadt,m
problem,n
augen,f
dank,m
sage,f
eins,f
frage,f
jungs,f
hilfe,f
all,n
kleine,f
baby,n
freunde,m
land,n
mache,f
wasser,n
auto,n
ruhe,f
stehen,n
hand,f
frauen,f
fall,m
polizei,f
krieg,m
letzte,n
hoch,n
schau,f
spielen,n
teufel,m
dinge,m
mama,f
name,m
wagen,m
arbeiten,n
verstehen,n
jahr,n
tod,m
geschichte,f
treffen,n
zimmer,n
job,m
spiel,n
sorgen,f
art,f
ahnung,f
vier,f
alter,n
woche,m
kerl,m
gestern,n
tage,f
erste,n
schwester,f
suchen,n
tochter,f
typ,m
grund,m
film,m
schatz,m
bett,n
seite,f
gefallen,n
herz,n
trinken,n
mensch,m
gesicht,n
wort,n
verlassen,n
schlafen,m
dollar,m
arsch,m
fest,n
wiedersehen,n
beste,n
kleinen,f
wahrheit,f
allen,n
ding,n
idee,f
sachen,f
nummer,f
entschuldigung,f
ernst,m
alte,f
schule,f
ort,m
alt,m
chance,f
setzen,n
feuer,n
pass,m
schuld,f
jungen,f
platz,m
papa,m
sorge,f
hund,m
blut,n
alten,f
rede,f
sechs,f
freundin,f
teil,n
stunde,f
telefon,n
himmel,m
lernen,n
zehn,f
willkommen,m
luft,f
licht,n
menge,f
tat,m
erde,f
ruf,m
eltern,m
ziehen,n
falsch,m
heiraten,m
doktor,m
kaffee,m
arzt,m
schaffen,n
stelle,f
fehler,m
rufen,n
probleme,f
wert,m
buch,n
kaufen,n
erinnern,m
laufen,m
schreiben,n
suche,f
tragen,n
mund,m
schiff,n
onkel,m
verlieren,n
zukunft,f
plan,m
verschwinden,n
waffen,f
party,f
kumpel,m
boden,m
general,m
richtige,n
liebling,m
acht,f
versuch,m
zeug,n
stimme,f
lesen,n
mist,m
zug,m
arschloch,n
rest,m
klasse,f
boss,m
fliegen,n
laden,n
stolz,m
wohnung,f
fort,n
mai,m
idiot,m
schneller,m
verzeihung,f
nachricht,f
stand,m
traum,m
fallen,n
hotel,n
krankenhaus,n
gottes,m
total,n
fenster,n
sinn,m
versuche,m
tanzen,n
lachen,n
kampf,m
arm,m
geschehen,n
folgen,f
bild,n
boot,n
dame,f
